City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
38,Port Alfred,ZA,2021-10-18 23:21:47,-33.5906,26.891,55.58,71,6,7.99
39,Rikitea,PF,2021-10-18 23:22:35,-23.1203,-134.9692,75.52,71,18,20.13
40,Huanren,CN,2021-10-18 23:22:35,41.2647,125.3667,29.86,73,5,5.64
41,Srednekolymsk,RU,2021-10-18 23:22:35,67.45,153.6833,1.24,96,89,4.45
42,Atuona,PF,2021-10-18 23:22:36,-9.8,-139.0333,77.61,78,34,19.93
43,Acoyapa,NI,2021-10-18 23:22:36,11.9703,-85.1711,75.29,91,96,4.88
44,Khatanga,RU,2021-10-18 23:22:37,71.9667,102.5,30.58,98,100,12.3
45,Vaini,TO,2021-10-18 23:17:56,-21.2,-175.2,78.96,78,20,11.5
46,Chernyshevskiy,RU,2021-10-18 23:22:37,63.0128,112.4714,31.12,95,100,8.01
47,Vao,NC,2021-10-18 23:22:38,-22.6667,167.4833,71.8,92,100,20.98
48,Shenjiamen,CN,2021-10-18 23:22:38,29.9576,122.298,64.35,80,100,14.34
49,Duluth,US,2021-10-18 23:22:39,46.7833,-92.1066,66.07,72,1,1.99
50,Punta Arenas,CL,2021-10-18 23:22:39,-53.15,-70.9167,48.31,61,20,20.71
51,Carutapera,BR,2021-10-18 23:22:40,-1.195,-46.02,79.84,78,70,7.47
52,San Patricio,US,2021-10-18 23:22:40,28.017,-97.5169,79.48,54,7,10.78
53,Port Macquarie,AU,2021-10-18 23:19:09,-31.4333,152.9167,71.89,66,93,2.33
54,Torbay,CA,2021-10-18 23:22:41,47.6666,-52.7314,46.27,96,90,13.8
55,Hobart,AU,2021-10-18 23:19:14,-42.8794,147.3294,52.02,63,75,1.01
56,Esperance,AU,2021-10-18 23:22:42,-33.8667,121.9,68.2,56,100,12.3
57,Mandalgovi,MN,2021-10-18 23:22:42,45.7625,106.2708,27.43,52,0,6.42
58,Hermanus,ZA,2021-10-18 23:22:43,-34.4187,19.2345,49.8,74,0,10.92
59,New Norfolk,AU,2021-10-18 23:21:20,-42.7826,147.0587,51.66,54,74,1.99
60,Tuktoyaktuk,CA,2021-10-18 23:22:43,69.4541,-133.0374,23.0,93,90,10.36
61,Touros,BR,2021-10-18 23:19:55,-5.1989,-35.4608,77.9,77,68,14.61
62,Champerico,GT,2021-10-18 23:22:44,14.3,-91.9167,84.34,77,85,4.61
63,Beniganj,IN,2021-10-18 23:22:44,27.2833,80.45,75.0,93,98,12.66
64,Chimoio,MZ,2021-10-18 23:22:45,-19.1164,33.4833,60.66,100,90,9.6
65,Yeppoon,AU,2021-10-18 23:22:45,-23.1333,150.7333,78.58,76,43,2.95
66,Mahebourg,MU,2021-10-18 23:21:36,-20.4081,57.7,74.25,78,40,11.5
67,Isangel,VU,2021-10-18 23:18:37,-19.55,169.2667,82.51,74,90,16.11
68,Marshfield,US,2021-10-18 23:22:46,44.6689,-90.1718,65.28,42,1,6.91
69,Bardiyah,LY,2021-10-18 23:22:47,31.7561,25.0865,69.17,67,22,7.52
70,Kiunga,PG,2021-10-18 23:22:47,-6.1219,141.2906,76.51,95,100,2.42
71,Luderitz,NA,2021-10-18 23:22:48,-26.6481,15.1594,70.84,27,84,13.67
