City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
113,Shieli,44.1667,66.75,41.94,53,22,7.83,KZ,2021-10-30 21:08:11,few clouds
114,Cherdyn,60.403,56.4787,28.6,97,100,1.36,RU,2021-10-30 21:08:11,overcast clouds
115,Ca Mau,9.1769,105.15,76.17,96,93,4.63,VN,2021-10-30 21:08:11,overcast clouds
116,Isangel,-19.55,169.2667,79.07,70,0,4.54,VU,2021-10-30 21:08:12,clear sky
117,Saint George,37.1041,-113.5841,82.87,32,1,3.0,US,2021-10-30 21:04:12,clear sky
118,Beloha,-25.1667,45.05,67.55,82,38,11.68,MG,2021-10-30 21:07:19,scattered clouds
119,Kavieng,-2.5744,150.7967,82.65,77,50,12.86,PG,2021-10-30 20:56:01,light rain
120,Sao Filipe,14.8961,-24.4956,79.9,75,78,11.74,CV,2021-10-30 21:08:13,broken clouds
121,Estelle,29.8458,-90.1067,70.05,59,1,3.0,US,2021-10-30 21:08:13,clear sky
122,Chokurdakh,70.6333,147.9167,1.13,97,100,5.77,RU,2021-10-30 21:08:13,overcast clouds
123,Prince Rupert,54.3161,-130.3201,47.71,51,85,2.33,CA,2021-10-30 21:04:34,overcast clouds
124,Nikolskoye,59.7035,30.7861,47.01,92,97,7.63,RU,2021-10-30 21:08:14,overcast clouds
125,Berasia,23.6333,77.4333,63.07,54,40,2.3,IN,2021-10-30 21:08:15,scattered clouds
126,Bethel,41.3712,-73.414,60.37,90,75,4.61,US,2021-10-30 21:07:54,broken clouds
127,Amargosa,-13.0303,-39.6047,72.01,78,66,8.57,BR,2021-10-30 21:07:50,broken clouds
128,East London,-33.0153,27.9116,64.81,85,80,7.4,ZA,2021-10-30 20:55:48,broken clouds
129,Torbay,47.6666,-52.7314,43.68,77,0,8.93,CA,2021-10-30 21:08:17,clear sky
130,Varzea Da Palma,-17.5981,-44.7308,75.78,67,80,5.82,BR,2021-10-30 21:08:17,broken clouds
131,Bengkulu,-3.8004,102.2655,75.81,90,100,4.63,ID,2021-10-30 21:08:18,overcast clouds
132,Moron,-34.6534,-58.6198,89.02,51,0,4.0,AR,2021-10-30 21:08:18,clear sky
133,Cherskiy,68.75,161.3,-0.96,98,100,5.77,RU,2021-10-30 21:08:18,overcast clouds
134,Svetlogorsk,52.6333,29.7333,43.63,76,35,9.55,BY,2021-10-30 21:08:19,scattered clouds
135,Howard Springs,-12.497,131.047,80.51,96,74,3.56,AU,2021-10-30 21:08:19,broken clouds
136,Hermanus,-34.4187,19.2345,61.9,85,75,8.46,ZA,2021-10-30 20:56:17,broken clouds
137,Labuhan,-6.8844,112.2051,79.65,83,88,4.38,ID,2021-10-30 21:08:20,overcast clouds
138,Avarua,-21.2078,-159.775,75.25,60,20,13.8,CK,2021-10-30 21:08:21,few clouds
139,Saint Anthony,45.0205,-93.218,61.18,54,1,1.01,US,2021-10-30 21:08:21,clear sky
140,Cidreira,-30.1811,-50.2056,68.47,86,28,22.84,BR,2021-10-30 20:59:30,scattered clouds
141,Pangnirtung,66.1451,-65.7125,33.1,99,100,8.84,CA,2021-10-30 21:08:22,snow
142,Chernyshevskiy,63.0128,112.4714,28.4,97,100,9.73,RU,2021-10-30 21:08:22,light snow
143,Te Anau,-45.4167,167.7167,47.35,94,100,4.14,NZ,2021-10-30 21:08:23,overcast clouds
144,Carnarvon,-24.8667,113.6333,64.47,72,0,14.97,AU,2021-10-30 21:08:23,clear sky
145,Bredasdorp,-34.5322,20.0403,58.28,96,67,4.09,ZA,2021-10-30 21:08:23,broken clouds
146,Kapaa,22.0752,-159.319,82.47,83,10,1.99,US,2021-10-30 20:56:42,clear sky
147,Nortelandia,-14.4547,-56.8028,89.73,47,70,2.37,BR,2021-10-30 21:08:24,broken clouds
148,Ancud,-41.8697,-73.8203,59.13,48,0,2.62,CL,2021-10-30 21:00:35,clear sky
149,Rio Grande,-32.035,-52.0986,75.31,82,73,19.91,BR,2021-10-30 21:08:25,broken clouds
150,Visnes,59.3556,5.2242,55.29,94,75,19.57,NO,2021-10-30 21:08:25,light rain
151,Goderich,43.7501,-81.7165,52.92,89,100,10.83,CA,2021-10-30 21:08:25,overcast clouds
152,Pierre,44.3683,-100.351,52.86,57,75,3.0,US,2021-10-30 21:05:43,broken clouds
153,Den Helder,52.9599,4.7593,55.38,83,90,10.0,NL,2021-10-30 21:03:47,overcast clouds
154,Alyangula,-13.8483,136.4192,81.0,78,63,5.14,AU,2021-10-30 21:06:58,broken clouds
155,Verkhoyansk,67.5447,133.385,-14.31,100,53,2.46,RU,2021-10-30 21:06:58,broken clouds
156,Yaan,7.3833,8.5667,77.86,78,99,4.79,NG,2021-10-30 21:08:28,overcast clouds
157,Strelka,58.0728,93.0344,26.44,60,98,7.94,RU,2021-10-30 21:08:28,overcast clouds
158,Mogadishu,2.0371,45.3438,79.03,79,18,14.25,SO,2021-10-30 21:08:28,few clouds
159,Alugan,12.2188,125.4808,81.05,77,100,17.05,PH,2021-10-30 21:08:29,overcast clouds
160,Lere,10.387,8.5726,73.31,31,100,2.57,NG,2021-10-30 21:08:29,overcast clouds
161,Victoria,22.2855,114.1577,75.33,83,97,1.01,HK,2021-10-30 21:06:12,overcast clouds
162,Parabel,58.6978,81.4825,24.26,72,100,7.58,RU,2021-10-30 21:08:30,overcast clouds
163,Coihaique,-45.5752,-72.0662,60.75,21,0,13.8,CL,2021-10-30 21:08:31,clear sky
164,Macau,22.2006,113.5461,75.07,83,40,13.8,MO,2021-10-30 21:06:03,scattered clouds
165,Provideniya,64.3833,-173.3,13.08,80,89,10.67,RU,2021-10-30 21:08:31,overcast clouds
166,Kanker,20.2719,81.4931,66.96,88,57,0.49,IN,2021-10-30 21:08:32,broken clouds
167,Los Llanos De Aridane,28.6585,-17.9182,65.95,75,0,4.0,ES,2021-10-30 21:08:32,clear sky
168,Aguimes,27.9054,-15.4461,66.83,70,20,11.5,ES,2021-10-30 21:08:32,few clouds
169,Kimbe,-5.5502,150.1429,79.39,84,30,3.58,PG,2021-10-30 21:08:34,scattered clouds
170,Hofn,64.2539,-15.2082,42.78,85,100,13.0,IS,2021-10-30 21:08:34,overcast clouds
171,Calatayud,41.3535,-1.6432,66.78,81,99,7.07,ES,2021-10-30 21:08:35,overcast clouds
172,Nemuro,43.3236,145.575,49.57,76,56,10.78,JP,2021-10-30 21:08:35,broken clouds
173,Harboore,56.6175,8.1807,53.22,88,100,22.79,DK,2021-10-30 21:08:36,overcast clouds
174,Buraydah,26.326,43.975,74.98,33,0,13.56,SA,2021-10-30 21:04:46,clear sky
175,Fiumicino,41.7675,12.2291,63.03,87,0,4.61,IT,2021-10-30 21:08:36,clear sky
176,Namibe,-15.1961,12.1522,68.2,72,82,7.74,AO,2021-10-30 21:08:37,broken clouds
177,Zomba,-15.386,35.3188,72.18,35,0,2.95,MW,2021-10-30 21:08:37,clear sky
178,Severo-Kurilsk,50.6789,156.125,40.5,86,78,11.41,RU,2021-10-30 21:08:37,broken clouds
179,Terra Boa,-23.7681,-52.4442,73.17,79,100,5.3,BR,2021-10-30 21:08:38,moderate rain
180,Fortuna,40.5982,-124.1573,64.36,67,20,1.99,US,2021-10-30 21:08:38,few clouds
181,San Cristobal,7.7669,-72.225,75.38,90,99,2.91,VE,2021-10-30 21:08:39,light rain
182,Cabo San Lucas,22.8909,-109.9124,89.51,61,20,14.97,MX,2021-10-30 21:08:39,few clouds
183,Biliran,11.4667,124.4753,77.4,89,98,7.61,PH,2021-10-30 21:08:40,overcast clouds
184,Grindavik,63.8424,-22.4338,37.87,93,0,8.05,IS,2021-10-30 21:08:40,clear sky
185,Hasaki,35.7333,140.8333,52.2,61,75,6.49,JP,2021-10-30 21:08:40,broken clouds
186,Komsomolskiy,40.4272,71.7189,49.71,46,100,1.74,UZ,2021-10-30 21:08:41,overcast clouds
187,Horsham,51.064,-0.3272,52.92,75,33,2.3,GB,2021-10-30 21:08:41,scattered clouds
188,Baie-Comeau,49.2168,-68.1489,48.09,72,55,5.73,CA,2021-10-30 21:08:42,broken clouds
189,Lagoa,39.05,-27.9833,69.46,91,100,21.47,PT,2021-10-30 21:08:42,overcast clouds
190,Longyearbyen,78.2186,15.6401,17.8,83,95,2.62,SJ,2021-10-30 21:08:43,overcast clouds
191,Soyaux,45.65,0.2,57.67,88,0,3.44,FR,2021-10-30 21:08:43,clear sky
192,Ambon,-3.6954,128.1814,81.23,74,73,2.66,ID,2021-10-30 21:08:43,broken clouds
